,X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url,place_id,lat,lng,restaurant,order
49,-76.149301,43.0462900000001,50,East Onondaga Mural,Mural,262 East Onondaga St,43.04629,-76.149301,Matlow,Andy,Syracuse Art Squad,,,,Downtown,Columbus Circle,South of Columbus Circle on east facing wall of the Cathedral Parish Center,,ChIJr2U9p77z2YkRgCZSK3ElDaE,43.0462953,-76.1495107,Tang Flavor Chinese Food Square,SyraViews Stereoscopes
50,-76.1560919999999,43.051069,51,Spirit of Light,Sculpture,300 Erie Blvd West,43.051069,-76.156092,King,Marvin L.,Bley & Lyman Architectural Firm,Stainless Steel,1932.0,1932.0,Downtown,Downtown,,,ChIJb383v8fz2YkRPQbxVVIunNI,43.051441,-76.1567877,Guadalajara Mexican restaurant,Redfield Monument 
51,-76.145877,43.0476160000001,52,Untitled Sculpture,Sculpture,444 East Genesee St,43.047616,-76.145877,Calcagnino,Steven,~,Concrete,,1975.0,Downtown,Municipal District,On the McCarthy Avenue side of the building at 444 East Genesee Street,,ChIJ0Ujncrvz2YkRvF_Z63udBbA,43.0477524,-76.14590129999999,City Hall Cafe,Syracuse Writers
52,-76.1412129999999,43.0518940000001,53,Waiting for the Night Train,Sculpture,400 Burnet Ave,43.051894,-76.141213,Epolito,Duke,Larry Zankowski,"Plaster, Polyurethane, Fiberglass",,1982.0,Eastside,Near Eastside,"Old railroad tracks off Erie Blvd, where Time Warner Cable, News 10 Now is located ",,ChIJWcIaoK_z2YkRnUeU8MFnVoc,43.0520063,-76.140743,Laci's Tapas,Inventive Spirit
53,-76.1490009999999,43.0510120000001,54,Burrow Boy,Monument,301-31 Erie Blvd East,43.051012,-76.149001,Tischler,Tom,,Onondaga Limestone and Bronze,,1987.0,Downtown,Hanover Square,Across from the Erie Canal Museum,,ChIJydGNHLrz2YkRH7b3e67w5Ac,43.0511095,-76.1490649,Water Street Bagel Co.,Bells of Surrender
54,-76.119466,43.040378,55,Community Mural,Mural,South Beech St and Westcott St,43.040378,-76.119466,Moody,Michael,,Paint on Cement,,1997.0,Eastside,Westcott,At corner of Beech and Westcott Streets,,EjFTIEJlZWNoIFN0ICYgV2VzdGNvdHQgU3QsIFN5cmFjdXNlLCBOWSAxMzIxMCwgVVNBImYiZAoUChIJb1HtkxLz2YkRNfjYfLDDTkMSFAoSCW9R7ZMS89mJETX42Hyww05DGhQKEglJmK31DvPZiRHTL3U5anPCFRoUChIJm9m_QG3z2YkR1d6lrJdrx3IiCg2MZ6cZFeQgodI,43.040142,-76.119222,Las Delicias,Jerry Rescue Mural
55,-76.119129,43.0416050000001,56,Boom Babies,Mural,Westcott St and Harvard Pl,43.041605,-76.119129,,,,Paint on Cement,,,Eastside,Westcott,,,EjFIYXJ2YXJkIFBsICYgV2VzdGNvdHQgU3QsIFN5cmFjdXNlLCBOWSAxMzIxMCwgVVNBImYiZAoUChIJR17aZRLz2YkRqwiUZxo-YcsSFAoSCUde2mUS89mJEasIlGcaPmHLGhQKEgkR8U-3E_PZiRES_X20xQUVgxoUChIJm9m_QG3z2YkR1d6lrJdrx3IiCg2inKcZFSAcodI,43.041501,-76.119344,Mom's,Three Seas for Syracuse
56,-76.118779,43.0413780000001,57,Mom's Diner Mosaic,Mosaic,110 Harvard Pl,43.041378,-76.118779,,,,"Glass, Cement, Paint",,,Eastside,Westcott,Backside of Mom's Diner,,ChIJQQJwb6mxQYgRY2DCSXJMe2M,39.0713635,-84.4767868,Papa Johns Pizza,Park History
57,-76.1512089999999,43.048499,58,S.ALT City,Mural,300 S. Warren Street,43.048499,-76.151209,Snyder,Brett,,Acrylic,2011.0,2012.0,Downtown,Downtown,West side of Lemp Jewelers Building,,ChIJZxAta7nz2YkRpg8fw-xAaow,43.048528,-76.151066,Soup R Salads,Reach
58,-76.154257,43.061094,59,Lock Alley Mural,Mural,741 N Salina Street,43.061094,-76.154257,Echo,,,Acrylic,2014.0,2014.0,Northside,North Salina Street,Northwest facing wall at the rear of the building facing a parking lot,,ChIJzUSJRrXz2YkR33NhdZEvSIU,43.0611061,-76.1540426,Exclusives Bar And Restaurant,Boom Babies
59,-76.119923,43.041619,60,Reach,Mural,508-510 Westcott Street,43.041619,-76.119923,Echo,,,Acrylic,2015.0,2015.0,Eastside,Westcott,East facing wall in interior courtyard,,ChIJ84X3bxLz2YkRtlCapvUi4bw,43.0416585,-76.11960540000001,Asahi Japanese Restaurant,Mom's Diner Mosaic
60,-76.156179,43.0484970000001,61,You've Made It,Mural,321  W Fayette Street,43.048497,-76.156179,Bocksel,Jon,,Acrylic,2016.0,2016.0,Downtown,Armory Square,West and east facing walls of 321 W Fayette St,,ChIJKbQagY4FyIkR5Bwp3ZpfGx0,39.29045429999999,-76.6218265,Platinum Amala @ Lexington Market,Middle Eastern Dreams
